Protein_ID,Peptide_ID,Log_Affinity
4HYB_C_A,4HYB_C_A,2.544068044
4I2W_B_A,4I2W_B_A,5.082066934
4I2Z_B_A,4I2Z_B_A,4.130333768
4I9C_C_A,4I9C_C_A,3.491361694
4IB5_D_A,4IB5_D_A,2.747932028
4IFI_B_A,4IFI_B_A,3.523746467
4IGK_C_A,4IGK_C_A,4.450249108
4IKN_B_A,4IKN_B_A,4.146128036
4IUR_C_B,4IUR_C_B,3.419955748
4J09_B_A,4J09_B_A,4.230448921
4J26_I_A,4J26_I_A,3.561101384
4J2C_B_A,4J2C_B_A,3.748188027
4J73_B_A,4J73_B_A,4.442479769
4J77_C_A,4J77_C_A,3.531478917
4J78_B_A,4J78_B_A,4.352182518
4J81_C_B,4J81_C_B,4.503790683
4J82_C_A,4J82_C_A,4.645422269
4J84_C_A,4J84_C_A,4.309630167
4J86_C_A,4J86_C_A,5.232742063
4J8B_B_A,4J8B_B_A,4.206825876
4J8G_C_B,4J8G_C_B,4.809559715
4JIZ_B_A,4JIZ_B_A,3.380211242
4JJM_E_A,4JJM_E_A,1.431363764
4JJQ_B_A,4JJQ_B_A,3.973127854
4JK5_B_A,4JK5_B_A,1.447158031
4JK6_B_A,4JK6_B_A,1.806179974
4JOE_C_A,4JOE_C_A,5.439332694
4JOF_C_A,4JOF_C_A,4.832508913
4JOG_C_A,4JOG_C_A,5.278753601
4JOH_C_A,4JOH_C_A,5.653212514
4JOJ_C_A,4JOJ_C_A,5.041392685
4JOK_C_A,4JOK_C_A,4.930949031
4K0U_B_A,4K0U_B_A,1.740362689
4K1E_B_A,4K1E_B_A,0.555094449
4K3M_E_A,4K3M_E_A,5.449015316
4K3P_E_A,4K3P_E_A,3.204119983
4K3Q_E_A,4K3Q_E_A,5.061075324
4K3R_E_A,4K3R_E_A,5.413467413
4K6Y_C_A,4K6Y_C_A,4.170261715
4K75_B_A,4K75_B_A,4.749736316
4K76_E_A,4K76_E_A,3.653212514
4KMD_B_A,4KMD_B_A,3.586587305
4KVM_I_E,4KVM_I_E,3.949390007
4L1U_G_B,4L1U_G_B,3.736396502
4L3O_E_A,4L3O_E_A,3
4L58_B_A,4L58_B_A,4.322219295
4LG6_B_A,4LG6_B_A,2.255272505
4LN2_B_A,4LN2_B_A,5.394451681
4LNP_B_A,4LNP_B_A,5.330413773
4M7C_C_A,4M7C_C_A,2.875061263
4MDR_B_A,4MDR_B_A,4.608526034
4MNW_B_A,4MNW_B_A,3.235528447
4MNX_B_A,4MNX_B_A,4.248708736
4MNY_C_A,4MNY_C_A,3.292256071
4MZ5_A_E,4MZ5_A_E,2.897627091
4MZ6_A_E,4MZ6_A_E,3.983175072
4MZF_A_B,4MZF_A_B,1.653212514
4MZH_B_A,4MZH_B_A,1.819543936
4N5T_B_A,4N5T_B_A,0.84509804
4N7G_B_A,4N7G_B_A,3.342422681
4N7Y_C_A,4N7Y_C_A,2.740362689
4N84_C_A,4N84_C_A,2.707570176
4NB3_C_A,4NB3_C_A,1.342422681
4NMO_C_A,4NMO_C_A,4.173186268
4NMP_C_A,4NMP_C_A,4.963315511
4NMQ_C_A,4NMQ_C_A,4.509202522
4NMR_C_A,4NMR_C_A,5.474216264
4NMX_Z_B,4NMX_Z_B,2.819543936
4NW2_B_A,4NW2_B_A,4.462397998
4NXQ_D_A,4NXQ_D_A,4.255272505
4NXR_B_A,4NXR_B_A,4.662757832
4NY3_C_A,4NY3_C_A,4.694605199
4O36_A_B,4O36_A_B,2.639486489
4O37_A_B,4O37_A_B,2.84135947
4O3T_P_A,4O3T_P_A,4.633468456
4O3U_P_A,4O3U_P_A,2.602059991
4O45_B_A,4O45_B_A,4.84509804
4O62_D_B,4O62_D_B,3.995635195
4O9W_B_A,4O9W_B_A,1.844539302
4ODK_B_A,4ODK_B_A,5.198657087
4ODL_C_B,4ODL_C_B,2.053078443
4ODM_E_A,4ODM_E_A,2.931966115
4ODN_B_A,4ODN_B_A,2.26245109
4ODP_B_A,4ODP_B_A,4.231979027
4ODQ_B_A,4ODQ_B_A,4.534660576
4OFB_B_A,4OFB_B_A,3.568201724
4OS1_B_A,4OS1_B_A,3.397940009
4OS2_B_A,4OS2_B_A,2.301029996
4OU3_B_A,4OU3_B_A,4.587710965
4OYK_C_A,4OYK_C_A,2.255272505
4OZ1_C_A,4OZ1_C_A,3.380211242
4P0A_B_A,4P0A_B_A,4.481442629
4P0B_B_A,4P0B_B_A,2.462397998
4PL6_C_A,4PL6_C_A,5.903089987
4PLI_C_A,4PLI_C_A,5.838849091
4PN1_E_A,4PN1_E_A,2.832508913
4PXF_B_A,4PXF_B_A,5.903089987
4PZ5_B_A,4PZ5_B_A,2.08278537
4PZ8_B_A,4PZ8_B_A,3.075546961
4Q6F_F_A,4Q6F_F_A,3.397940009
4QBM_C_A,4QBM_C_A,4.416307587
4QC1_D_A,4QC1_D_A,4.01494035
4QH7_C_A,4QH7_C_A,3.056904851
4QH8_C_A,4QH8_C_A,4.10720997
4QQ4_C_A,4QQ4_C_A,3.255272505
4QQI_X_A,4QQI_X_A,3.477121255
4R1E_B_A,4R1E_B_A,1.716003344
4RH5_B_A,4RH5_B_A,2.104828404
4RQI_E_A,4RQI_E_A,4.089905111
4RRV_B_A,4RRV_B_A,1.602059991
4RXH_A_B,4RXH_A_B,3.089905111
4TK1_C_A,4TK1_C_A,5.278753601
4TK3_C_A,4TK3_C_A,3.903089987
4TKN_D_A,4TKN_D_A,3.113943352
4TKY_F_B,4TKY_F_B,3.301029996
4TMP_B_A,4TMP_B_A,3.568201724
4TSZ_Q_A,4TSZ_Q_A,1.995635195
4TT2_P_A,4TT2_P_A,4.342422681
4TWT_E_A,4TWT_E_A,1
4TZM_C_A,4TZM_C_A,2.301029996
4TZN_C_A,4TZN_C_A,2.477121255
4TZQ_B_A,4TZQ_B_A,2.477121255
4U0A_B_A,4U0A_B_A,4.698970004
4U0C_B_A,4U0C_B_A,4.69019608
4U2W_B_A,4U2W_B_A,3
4U68_D_A,4U68_D_A,4.692846919
4U7T_F_A,4U7T_F_A,3.330413773
4U90_D_A,4U90_D_A,2.459392488
4U91_B_A,4U91_B_A,2.173186268
4UM9_E_A,4UM9_E_A,0.929418926
4UTR_C_A,4UTR_C_A,2.84509804
4UU5_B_A,4UU5_B_A,3.963787827
4UX9_F_A,4UX9_F_A,3.897627091
4V11_B_A,4V11_B_A,2.51054501
4W4Z_E_A,4W4Z_E_A,1.477121255
4W50_E_A,4W50_E_A,3.146128036
4WCI_B_A,4WCI_B_A,3.949390007
4WJ7_W_A,4WJ7_W_A,4.113943352
4WK2_C_A,4WK2_C_A,2.06069784
4WPH_C_B,4WPH_C_B,3.204119983
4WRQ_C_A,4WRQ_C_A,3.662757832
4WV6_B_A,4WV6_B_A,4.017033339
4WYM_M_A,4WYM_M_A,4.999130541
4X1Q_P_U,4X1Q_P_U,3.702430536
4X1S_P_U,4X1S_P_U,2.127104798
4X34_C_A,4X34_C_A,2.880813592
4X3E_B_A,4X3E_B_A,3.531478917
4X3H_B_A,4X3H_B_A,4.773786445
4X3I_B_A,4X3I_B_A,5.82672252
4X3K_C_A,4X3K_C_A,4.442479769
4X3S_C_B,4X3S_C_B,3.113943352
4X6S_L_A,4X6S_L_A,3.755874856
4X8N_B_A,4X8N_B_A,2.380211242
4X8P_B_A,4X8P_B_A,3.51851394
4XC2_E_A,4XC2_E_A,3.633468456
4XEK_C_A,4XEK_C_A,3.342422681
4XHV_B_A,4XHV_B_A,4.698970004
4XYN_P_A,4XYN_P_A,3.113943352
4Y7R_B_A,4Y7R_B_A,3.968482949
4YJE_B_A,4YJE_B_A,4.158362492
4YJL_G_A,4YJL_G_A,3.041392685
4YK6_B_A,4YK6_B_A,3.301029996
4YM4_B_A,4YM4_B_A,4.526339277
4YNL_D_A,4YNL_D_A,4.380211242
4YOZ_B_A,4YOZ_B_A,2.204119983
4YSI_B_A,4YSI_B_A,3.301029996
4YY6_Z_A,4YY6_Z_A,4.77815125
4YYI_C_A,4YYI_C_A,4.806179974
4YYM_Z_A,4YYM_Z_A,5.380211242
4Z0D_C_A,4Z0D_C_A,3.698970004
4Z0U_D_A,4Z0U_D_A,3.301029996
4Z2O_P_A,4Z2O_P_A,4.491361694
4Z2P_P_A,4Z2P_P_A,4.397940009
4Z5W_P_B,4Z5W_P_B,3.190331698
4Z68_E_A,4Z68_E_A,2.505149978
4Z7Q_G_B,4Z7Q_G_B,4.706717782
4Z88_M_A,4Z88_M_A,3.612783857
4Z89_A_B,4Z89_A_B,4.305351369
4Z8M_C_A,4Z8M_C_A,1.556302501
4ZDU_B_A,4ZDU_B_A,3.230448921
4ZHL_P_U,4ZHL_P_U,2.531478917
4ZHM_P_U,4ZHM_P_U,0.954242509
4ZNX_E_A,4ZNX_E_A,2.380211242
5A0E_C_A,5A0E_C_A,2.474216264
5A2I_P_H,5A2I_P_H,3.944482672
5A2J_P_H,5A2J_P_H,3.146128036
5AER_B_A,5AER_B_A,4.602059991
5AGU_C_A,5AGU_C_A,-1
5AH2_E_A,5AH2_E_A,-1.080921908
5AJO_B_A,5AJO_B_A,4.041392685
5AWT_B_A,5AWT_B_A,4.480006943
5AWU_B_A,5AWU_B_A,4.350248018
5AZG_C_A,5AZG_C_A,3.462397998
5B4W_G_A,5B4W_G_A,0.544068044
5B56_C_A,5B56_C_A,4.463892989
5B6C_B_A,5B6C_B_A,5.344392274
5BJT_P_A,5BJT_P_A,2.698970004
5C0M_C_B,5C0M_C_B,3.146128036
5C11_B_A,5C11_B_A,2.531478917
5C13_P_A,5C13_P_A,2.897627091
5CFA_D_B,5CFA_D_B,2.462397998
5CQX_C_A,5CQX_C_A,3.672097858
5CVD_D_A,5CVD_D_A,2.591064607
5D0J_L_A,5D0J_L_A,3.692846919
5D6Y_A_B,5D6Y_A_B,3.342422681
5D7E_C_A,5D7E_C_A,5.177824972
5DAH_C_B,5DAH_C_B,3.698970004
5DMS_B_A,5DMS_B_A,4.47099817
5DPW_B_A,5DPW_B_A,3.625312451
5E0L_C_A,5E0L_C_A,2.602059991
5E0M_C_A,5E0M_C_A,3.716003344
5E1B_D_A,5E1B_D_A,4.155336037
5E1D_D_A,5E1D_D_A,3.612783857
5E1M_D_A,5E1M_D_A,2.276461804
5E1O_D_A,5E1O_D_A,3.568201724
5E2Q_B_A,5E2Q_B_A,3.214843848
5E3A_B_A,5E3A_B_A,3.556302501
5E4W_E_C,5E4W_E_C,4.361727836
5E8F_D_A,5E8F_D_A,0.361727836
5EAY_E_D,5EAY_E_D,4.531478917
5EEL_L_C,5EEL_L_C,2.919078092
5EEQ_L_A,5EEQ_L_A,3.176091259
5EKG_B_A,5EKG_B_A,2.959041392
5ELQ_P_A,5ELQ_P_A,3.301029996
5EM9_B_A,5EM9_B_A,3.431363764
5EMA_B_A,5EMA_B_A,3.770852012
5EMB_B_A,5EMB_B_A,3.799340549
5EOK_K_A,5EOK_K_A,5.505149978
5EPP_B_A,5EPP_B_A,4.838219222
5ETA_D_B,5ETA_D_B,3.204119983
5ETF_B_A,5ETF_B_A,5.208172527
5EYZ_E_A,5EYZ_E_A,3
5EZ0_E_A,5EZ0_E_A,3.198657087
5FB0_D_A,5FB0_D_A,3.531478917
5FJW_L_A,5FJW_L_A,3.602059991
5FJX_D_B,5FJX_D_B,4.041392685
5FOS_C_A,5FOS_C_A,3.255272505
5FYQ_C_B,5FYQ_C_B,3.113943352
5GG4_E_A,5GG4_E_A,3.176091259
5GMV_D_B,5GMV_D_B,2.770852012
5GOW_A_B,5GOW_A_B,4.547774705
5GP7_B_A,5GP7_B_A,3.851258349
5GS4_B_A,5GS4_B_A,1.929418926
5GU4_C_A,5GU4_C_A,3.531478917
5H1E_C_A,5H1E_C_A,1.462397998
5H5Q_B_A,5H5Q_B_A,3.255272505
5H5R_B_A,5H5R_B_A,2.785329835
5H5S_B_A,5H5S_B_A,3.913813852
5H7G_C_A,5H7G_C_A,-0.244125144
5HDA_B_A,5HDA_B_A,3.86923172
5HEB_B_A,5HEB_B_A,2.903089987
5HED_B_A,5HED_B_A,4.556302501
5HJB_B_A,5HJB_B_A,3.322219295
5HJC_B_A,5HJC_B_A,4.653212514
5HJD_L_G,5HJD_L_G,3.755874856
5HKH_B_A,5HKH_B_A,3.908485019
5HOG_D_A,5HOG_D_A,5.361727836
5HUW_A_C,5HUW_A_C,2.76952502
5HYX_A_B,5HYX_A_B,2.447158031
5I22_B_A,5I22_B_A,1.380211242
5I25_B_A,5I25_B_A,5.51054501
5IAY_B_A,5IAY_B_A,3.201397124
5IGQ_U_A,5IGQ_U_A,2.397940009
5IH2_M_A,5IH2_M_A,3.235528447
5IQL_B_A,5IQL_B_A,4.439332694
5IX1_P_A,5IX1_P_A,2.69019608
5IXF_B_A,5IXF_B_A,3.477121255
5IXQ_B_A,5IXQ_B_A,4.301029996
5IXT_B_A,5IXT_B_A,4.397940009
5IY4_B_A,5IY4_B_A,4.191730393
5IYV_B_A,5IYV_B_A,5.130333768
5IZU_B_A,5IZU_B_A,1.73239376
5J19_C_A,5J19_C_A,2.397940009
5J31_C_A,5J31_C_A,2.491361694
5J3V_C_A,5J3V_C_A,2.01911629
5JEK_C_A,5JEK_C_A,5.017033339
5JEO_B_A,5JEO_B_A,4.198657087
5JJM_G_A,5JJM_G_A,1.485721426
5K6S_B_A,5K6S_B_A,2.740362689
5KEZ_B_A,5KEZ_B_A,0.84509804
5KLR_A_B,5KLR_A_B,1.278753601
5KLT_A_B,5KLT_A_B,2.243038049
5L7K_B_A,5L7K_B_A,-1.366531544
5LB7_C_A,5LB7_C_A,3.954242509
5LSO_C_A,5LSO_C_A,3.146128036
5LU2_C_B,5LU2_C_B,3.799340549
5LVF_B_A,5LVF_B_A,4.176091259
5LY1_E_C,5LY1_E_C,1.474216264
5LY3_B_A,5LY3_B_A,1.491361694
5LYN_C_A,5LYN_C_A,3.95616843
5M9D_B_A,5M9D_B_A,3.204119983
5MAV_G_C,5MAV_G_C,3.51851394
5MGX_A_F,5MGX_A_F,3.414973348
5MK1_E_A,5MK1_E_A,5.120573931
5MK3_E_A,5MK3_E_A,4.949390007
5MLO_B_A,5MLO_B_A,3.681241237
5MLW_B_A,5MLW_B_A,3.965671971
5N70_B_A,5N70_B_A,0.477121255
5N7G_C_A,5N7G_C_A,4.419955748
5N7X_C_B,5N7X_C_B,3.755874856
5N8B_E_A,5N8B_E_A,1.633468456
5N8E_E_B,5N8E_E_B,3.672097858
5N8J_P_C,5N8J_P_C,3.457881897
5N8W_C_B,5N8W_C_B,2.672097858
5N99_C_A,5N99_C_A,4.787460475
5NIN_C_A,5NIN_C_A,1.875061263
5NJX_B_A,5NJX_B_A,4.84509804
5NNE_C_A,5NNE_C_A,4.290034611
5NWI_P_A,5NWI_P_A,2.838849091
5NXQ_D_A,5NXQ_D_A,2.505149978
5ODS_E_A,5ODS_E_A,4.672097858
5OVC_B_A,5OVC_B_A,3.041392685
5OVP_B_A,5OVP_B_A,3.959041392
5OVV_B_A,5OVV_B_A,4.51851394
5SVE_C_A,5SVE_C_A,3.255272505
5SVZ_B_A,5SVZ_B_A,3.079181246
5SWF_B_A,5SWF_B_A,2.740362689
5T1I_C_A,5T1I_C_A,5.084576278
5T6J_C_A,5T6J_C_A,4.065579715
5T8R_E_D,5T8R_E_D,4.707570176
5TBN_C_A,5TBN_C_A,3.556302501
5TDR_B_A,5TDR_B_A,4.462397998
5TEG_D_A,5TEG_D_A,2.146128036
5TQ1_B_A,5TQ1_B_A,3.506505032
5TQS_E_A,5TQS_E_A,3.1430148
5TTW_B_A,5TTW_B_A,3.041392685
5TWG_E_A,5TWG_E_A,2.832508913
5TWH_E_A,5TWH_E_A,2.447158031
5U2J_D_B,5U2J_D_B,3.079181246
5U6K_L_A,5U6K_L_A,3.77815125
5UL6_M_A,5UL6_M_A,0.77815125
5UMZ_E_B,5UMZ_E_B,1.878636673
5UNJ_C_A,5UNJ_C_A,2.380211242
5UWI_D_C,5UWI_D_C,3.204119983
5UWJ_D_C,5UWJ_D_C,3.301029996
5UWP_D_C,5UWP_D_C,3.204119983
5V1Y_E_A,5V1Y_E_A,0.851258349
5V2P_B_A,5V2P_B_A,0.707570176
5V2Q_B_A,5V2Q_B_A,0.716003344
5V3R_B_A,5V3R_B_A,3.698970004
5V4B_C_B,5V4B_C_B,3
5V6Y_E_A,5V6Y_E_A,0.530199698
5VB9_C_A,5VB9_C_A,3.113943352
5VLH_Y_A,5VLH_Y_A,2.204119983
5VLL_Y_A,5VLL_Y_A,2.633468456
5VNB_K_A,5VNB_K_A,3.698970004
5VQI_A_B,5VQI_A_B,2.748188027
5VWI_C_A,5VWI_C_A,4.161368002
5VZU_E_B,5VZU_E_B,3.431363764
5W4S_B_A,5W4S_B_A,4.973127854
5W6U_D_A,5W6U_D_A,3.509202522
5W7I_B_A,5W7I_B_A,4.049218023
5W7X_H_D,5W7X_H_D,4.903089987
5W94_E_A,5W94_E_A,4.354108439
5WA1_B_A,5WA1_B_A,4.826074803
5WA4_M_A,5WA4_M_A,3.113943352
5WBK_T_A,5WBK_T_A,2.973127854
5WBL_T_A,5WBL_T_A,2.556302501
5WIR_D_B,5WIR_D_B,1.875639937
5WLE_C_A,5WLE_C_A,3.278753601
5WOU_V_A,5WOU_V_A,2.822168079
5WQD_H_A,5WQD_H_A,4.230448921
5WXF_P_U,5WXF_P_U,4.51851394
5WXG_P_A,5WXG_P_A,5.136720567
5X54_C_A,5X54_C_A,4
5XGL_F_A,5XGL_F_A,2.119255889
5XHZ_C_A,5XHZ_C_A,2.505149978
5XJM_B_A,5XJM_B_A,-0.366531544
5XN3_B_A,5XN3_B_A,2.82672252
5XUP_C_A,5XUP_C_A,3.748188027
5XWR_C_A,5XWR_C_A,3.017033339
5XXK_C_A,5XXK_C_A,0.801883707
5Y1U_C_B,5Y1U_C_B,3.880813592
5Y20_P_A,5Y20_P_A,4.482873584
5Y24_C_A,5Y24_C_A,0.662757832
5Y59_C_B,5Y59_C_B,3.707570176
5Y7W_C_A,5Y7W_C_A,1.301029996
5YBA_B_A,5YBA_B_A,4.225567713
5YBE_B_A,5YBE_B_A,2.763427994
5YC1_G_D,5YC1_G_D,4.663700925
5YC2_B_A,5YC2_B_A,4.056904851
5YC3_P_A,5YC3_P_A,4.152288344
5YCO_E_A,5YCO_E_A,4.409933123
5YGD_D_A,5YGD_D_A,1.73239376
5YGF_D_A,5YGF_D_A,2.792391689
5YPO_C_A,5YPO_C_A,1.903089987
5YV5_B_A,5YV5_B_A,3.591064607
5YVX_C_A,5YVX_C_A,3.11058971
5YYZ_B_A,5YYZ_B_A,4.820857989
5ZNP_P_A,5ZNP_P_A,4.31386722
5ZNR_P_A,5ZNR_P_A,4.328379603
5ZOO_A_G,5ZOO_A_G,3.348304863
5ZUJ_I_A,5ZUJ_I_A,4.217483944
6A6W_B_A,6A6W_B_A,3.568201724
6AR2_C_A,6AR2_C_A,2.59439255
6ASZ_P_A,6ASZ_P_A,4.278753601
6AXJ_G_A,6AXJ_G_A,4
6B27_G_A,6B27_G_A,3.968482949
6B67_D_A,6B67_D_A,3.949390007
6BGG_A_B,6BGG_A_B,4.977723605
6BHD_B_A,6BHD_B_A,3.968482949
6BHI_B_A,6BHI_B_A,4.745074792
6BNH_B_A,6BNH_B_A,5.198657087
6BUU_F_A,6BUU_F_A,3.556302501
6BVB_H_V,6BVB_H_V,2.292256071
6C4U_G_A,6C4U_G_A,2.902002891
6CDG_B_A,6CDG_B_A,3.278753601
6CF6_C_B,6CF6_C_B,3.763427994
6CO4_B_A,6CO4_B_A,1.431363764
6DRT_D_A,6DRT_D_A,4.029383778
6DUB_E_A,6DUB_E_A,4.255272505
6E49_D_B,6E49_D_B,2.602059991
6E83_A_B,6E83_A_B,2.602059991
6E8K_B_A,6E8K_B_A,2.959041392
6E8M_B_A,6E8M_B_A,2.72427587
6EQX_D_A,6EQX_D_A,-1.468521083
6EVN_C_A,6EVN_C_A,4.294466226
6EVO_C_A,6EVO_C_A,3.832508913
6EVP_C_A,6EVP_C_A,4.465382851
6EWW_E_A,6EWW_E_A,3.954242509
6EXJ_B_A,6EXJ_B_A,4.672097858
6EZI_B_A,6EZI_B_A,3.69019608
6F08_D_B,6F08_D_B,3.608526034
6F09_A_P,6F09_A_P,3.029383778
6F0Y_B_A,6F0Y_B_A,3.890979597
6F55_B_A,6F55_B_A,4.836324116
6F8G_E_A,6F8G_E_A,4.8162413
6FAU_B_A,6FAU_B_A,3.556302501
6FC6_B_A,6FC6_B_A,3.748188027
6FDP_B_A,6FDP_B_A,3.740362689
6FDT_B_A,6FDT_B_A,4.703291378
6FKQ_B_A,6FKQ_B_A,1
6FMP_C_A,6FMP_C_A,3.355068206
6G0Q_B_A,6G0Q_B_A,4.390935107
6G84_D_A,6G84_D_A,3.785329835
6G86_D_A,6G86_D_A,4.507855872
6GBE_B_A,6GBE_B_A,5.50242712
6GFX_D_B,6GFX_D_B,1.079181246
6GZL_B_A,6GZL_B_A,3.86332286
6H41_B_A,6H41_B_A,1.954242509
6H7B_B_A,6H7B_B_A,1.51851394
6HM4_B_A,6HM4_B_A,3.326335861
6HPG_A_E,6HPG_A_E,3.501059262
6MIL_B_A,6MIL_B_A,3.591064607
6MIM_B_A,6MIM_B_A,3.301029996
